42;INVESTICIJSKI ODHODKI;200538235;234663579;212347803;244561719;210434634;268960063;292048460;268416983;377926511;539408613;495473994;448776837;370189772;322500734;239818607;386154717;531083728;685516959;309747975;371151652;483093363;339805925
;;;;;;;;;;;;;;;;;;;;;;;
420;Nakup in gradnja osnovnih sredstev;200538235;234663579;212347803;244561719;210434634;268960063;292048460;268416983;377926511;539408613;495473994;448776837;370189772;322500734;239818607;386154717;531083728;685516959;309747975;371151652;483093363;339805925
;;;;;;;;;;;;;;;;;;;;;;;
4200;Nakup zgradb in prostorov;6572575;10151260;7935025;16467187;12895548;9149983;11907558;18135133;41456084;41928868;14269013;19614014;11525393;6470108;5561023;6063855;5521061;9683935;6828845;8547571;6122120;9671170
420000;Nakup poslovnih stavb;2164878;5643760;4747628;14595036;12004722;6906302;3852411;10772657;27025428;32753213;6550570;5904475;2506058;1299882;141560;786250;150000;5539022;2116394;6846185;4473087;9076521
420001;Nakup stanovanjskih zgradb in prostorov;505871;1677082;1792100;1085805;358498;0;617932;96713;557944;507200;50742;0;3327479;0;0;0;0;0;0;0;3195;0
420002;Nakup zgradb in prostorov za počitek in rekreacijo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47076;0;0;0;0;0
420070;Nakup poslovnih stavb - finančni najem;0;0;0;0;0;0;7437216;7159297;9438498;7919144;7653578;7559539;5691856;5170225;5404837;5009905;4877605;3830956;4712451;1630938;1645838;584033
420099;Nakup drugih zgradb in prostorov;3901827;2830418;1395297;786346;532328;2243681;0;106465;4434214;749311;14124;6150000;0;0;14626;267700;446380;313956;0;70449;0;10616
;;0;;;;;;;;;;;;;;;;;;;;;
4201;Nakup prevoznih sredstev;3792134;6330938;5672889;5842590;4685726;7276287;7236693;6944057;12930172;18754482;5912424;6684136;6470229;5778203;4888159;3273623;8637783;9136202;19382427;21717957;15138692;3204095
420100;Nakup motornih koles in motorjev;171475;351689;14182;2151;422504;114660;137475;647563;42908;395663;263255;0;0;2200;3597;6318;7272;11692;902640;675363;2599;0
420101;Nakup avtomobilov;1442406;5068663;4415488;4695906;3598114;5512058;6329437;6016578;11361577;8179757;3693170;995632;3043386;1907769;1594701;989033;8049343;4965072;9023760;15017288;8694446;1574644
