7;SKUPAJ PRIHODKI ;3395606172;3935423557;4135316373;4776242622;4895346030;5811578949;6323186288;6801959950;7396475699;7799943931;8535070002;7530721087;7549556129;7833337135;7887035270;7779413955;8459465915;8520949362;8315542209;8830007768;10000553444;7411863963
;;;;;;;;;;;;;;;;;;;;;;;
0;TEKOČI PRIHODKI ;3381579876;3919975454;4104833351;4730166559;4830792946;5752872548;6126589676;6486137244;7029218607;7432601802;8154621016;6918630977;6810508939;7005185245;7028512553;6784839226;7383946044;7583572017;7782541171;8386097828;9114547633;6845723082
;;;;;;;;;;;;;;;;;;;;;;;
70;DAVČNI PRIHODKI;3183307372;3734999706;3871107717;4338112858;4470511260;5348942765;5697999025;6112787105;6685969821;7052407004;7685337562;6554054334;6249176913;6574706081;6502528577;6172747505;6578504574;7022687303;7211378669;7715276111;8247820927;6332629822
;;;;;;;;;;;;;;;;;;;;;;;
700;Davki na dohodek in dobiček;788420014;804412873;920372446;1071164122;1182187158;1405892194;1556500228;1665245936;2107757251;2032484758;2514453480;1782060466;1353509748;1581708827;1509212486;1009945067;1260001038;1559663182;1631360754;1870289212;2129253325;1726225302
;;;;;;;;;;;;;;;;;;;;;;;
7000;Dohodnina;623199400;628410629;704236451;784173119;868288512;957744579;1037577623;1071018563;1165427162;919241613;1257416524;1069832398;902104468;912500437;929772095;740543292;789614888;961288251;1029307862;1100031364;1280219100;922610911
700001;Dohodnina - letni poračun;-35699787;0;-65805744;-97792478;-107209627;-58162088;-60146330;-59481313;-97761743;-158443049;-59025911;-81197460;-103326107;-129412435;-124973736;-153978040;-170844603;-174266827;-184723995;-177975909;-195372810;-216621405
700002;Akontacija dohodnine od dohodka iz zaposlitve;573181342;543421419;681638446;782932920;869101875;899954677;971670496;963088533;1032141143;1570450769;1769941593;1798852262;1814041834;1827972432;1764852269;1665824115;1732051213;1792341208;1895739339;1987050272;2189381701;1691984576
700003;Akontacija dohodnine od pokojnin, nadomestil in drugih dohodkov iz naslova obveznega in prostovoljnega pokojninskega in invalidskega zavarovanja;7884965;9458790;9370917;9155938;9972247;9468887;9631112;24465855;19185213;18301950;18883781;20968571;21193147;20666274;18992979;20157114;26706258;28772883;28889952;34465525;38107001;32508993
700004;Akontacija dohodnine od dohodkov iz drugega pogodbenega razmerja;13438170;13339615;14226815;15385363;16971315;16986827;17535906;43200438;45141713;79054931;85528370;76543502;76528951;76102255;73260560;65781732;50991809;46458812;45457569;47068952;48316290;35212761
700005;Akontacija dohodnine od drugih dohodkov;1380526;1324896;2026929;2058842;2341620;2935620;3901045;10565658;7722354;12130841;14608230;14171904;16709446;50683102;94895221;59078585;35824554;25363371;41122818;23036842;18037371;11490574
700006;Akontacija dohodnine od dohodka iz osnovne kmetijske dejavnosti;141308;111103;155545;116347;99328;148910;45315;106039;818469;1381116;4110906;4225911;8597842;-691130;-177207;152826;-50877;90849;-23971;236502;0;0
700007;Akontacija dohodnine od dohodka iz osnovne gozdarske dejavnosti;106777;115742;63572;91307;65202;75599;71374;35316;302208;240303;543941;679831;828381;125033;-27282;79168;55099;74015;59577;85975;0;0
700008;Akontacija dohodnine od dohodka iz dejavnosti;24843553;24327526;25402316;29804089;31459697;33223758;35631701;35921022;95624551;143302118;131933284;100603518;58568844;69549072;71455648;61272296;74109588;86735145;79742634;97468792;108143223;99511778
700009;Dohodnina od dohodka iz dejavnosti na podlagi normiranih stroškov;1364405;1270778;1569527;1824869;2436529;2984459;3777917;6249332;8304863;9744934;10459054;10008865;9922002;9748611;9193363;1081639;162522;108163;113151;114062;353290;232501
700010;Dohodnina od dobička iz kapitala pri odsvojitvi nepremičnin;277445;201436;378492;129329;332539;690306;346935;1450985;3356280;12558862;18531280;7387108;6859288;5918517;6399183;4607281;3988279;4170500;5306228;6754095;8671620;7186275
700011;Dohodnina od dobička iz kapitala od odsvojitve vrednostnih papirjev in drugih deležev ter investicijskih kuponov;380583;570014;689692;816331;982923;3676601;1836293;2928704;2303887;22998836;74411499;25975724;9658129;8019198;9410253;9005811;5998394;13081988;15219234;11987614;22531685;11428954
700012;Dohodnina od dividend;11654711;10827687;8885935;11212919;10873930;11474578;14749614;18728662;25290268;47063448;60294339;48816743;50926699;45818061;76179472;44307524;57943795;73005863;73677821;88556925;131892696;90066781
700013;Dohodnina od obresti;276778;246849;161448;183152;210236;250284;458249;391326;3752508;13493441;20774703;49764299;32874075;24722209;28155611;35091326;37370863;26678664;15553736;10539245;7488224;5888284
700014;Dohodnina od dohodkov iz oddajanja premoženja v najem;4775680;5068402;5794543;6603024;7604354;8635226;10280411;13382363;12730499;24741338;27051795;13676772;26995754;28185203;32252746;39904137;43678291;45270589;48050587;49950642;52268242;42664522
700015;Akontacija dohodnine od dohodkov iz prenosa premoženjske pravice;14431280;14653290;15493153;16427563;17933579;19176958;23221236;4533217;3886893;5482197;5125753;3750082;3746839;3218827;3387756;2093335;1946646;2185353;2564142;2439730;2118221;1796471
700016;Akontacija dohodnine - od dohodkov iz premoženjskih pravic - od izumov, znakov razlikovanja in tehničnih izboljšav;351002;246624;265871;225113;258564;346385;335470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700017;Zamudne obresti od dohodnine;4410662;3226455;3918996;4998490;4854199;5877592;4230879;542148;-1887756;1923860;1969493;-1747268;3239447;3412927;4922797;3415483;2400671;2229232;2731150;2745904;2963508;1323114
700018;Akontacija dohodnine - od drugih dohodkov iz osnovne kmetijske dejavnosti in osnovne gozdarske dejavnosti;0;0;0;0;0;0;0;3782331;4515568;1443;-7468;730;-475;6760273;8012400;7398483;10512314;9867043;7167303;7927225;7636685;7311468
700019;Akontacija dohodnine - od dohodka iz vzajemnih skladov;0;0;0;0;0;0;0;1127948;245;0;0;0;0;0;0;0;0;0;0;0;0;0
700020;Dohodnina - občinski vir;0;0;0;0;0;0;0;0;0;-885185725;-927718118;-1023027564;-1121241576;-1126534053;-1132483532;-1115587187;-1118201556;-1018065293;-1042401652;-1088687033;-1154638564;-889663944
700021;Dohodnina od nenapovedanih dohodkov;0;0;0;0;0;0;0;0;0;0;0;378869;1933431;3513938;950467;2772678;2657057;4098462;2148077;4248311;4738159;684127
700022;Dohodnina - glavno mesto;0;0;0;0;0;0;0;0;0;0;0;0;-15951483;-15277878;-14886872;-11915012;-7685427;-6911768;-7085837;-7982306;-12472772;-10708917
700023;Akontacija dohodnine od katastrskega dohodka in pavšalne ocene dohodka na panj;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55330;314000
;;;;;;;;;;;;;;;;;;;;;;;
7001;Davek od dohodkov pravnih oseb;165220614;176002244;216135996;286991003;313898646;448147615;518922605;594227373;942330089;1113243145;1257036956;712228068;448602436;667636693;576884970;265209068;468364727;594764460;599461826;766269559;845733919;778321121
700100;Davek od dohodkov pravnih in fizičnih oseb - davčni odtegljaj;159707574;169693085;212670542;267208459;301101874;440046210;512427472;602665967;991882809;1116328883;1257291903;712417373;448402765;673482330;576423680;264336277;467596395;594422164;598699557;766780805;844767713;777725681
700101;Zamudne obresti od davka od dohodkov pravnih oseb;5513040;6309159;3465453;19782544;12796772;8101405;6495133;-8438593;-49552720;-3085738;-254947;-189305;199672;-5845637;461290;872791;768332;342296;762269;-511246;966205;595440
;;;;;;;;;;;;;;;;;;;;;;;
7002;Drugi davki na dohodek in dobiček;0;0;0;0;0;0;0;0;0;0;0;0;2802843;1571696;2555421;4192707;2021423;3610471;2591066;3988290;3300307;25293270
700200;Dodatni davek od dohodkov članov poslovodstev in nadzornih organov v času finančne in gospodarske krize;0;0;0;0;0;0;0;0;0;0;0;0;1401098;369661;208452;96655;-1281643;7140;22222;20102;47686;5378
700201;Zamudne obresti od dodatnega davka od dohodkov članov poslovodstev in nadzornih organov v času finančne in gospodarske krize;0;0;0;0;0;0;0;0;0;0;0;0;390;1450;6023;704;-236930;-1779;237;423;54;178
700202;Davek od dohodka iz finančnih instrumentov, ki ga oseba prejme za tuj račun;0;0;0;0;0;0;0;0;0;0;0;0;1401355;1200456;2129048;3596927;3359932;3458826;2367684;3560158;2896806;25033218
700203;Zamudne obresti od davka od dohodka iz finančnih instrumentov, ki ga oseba prejme za tuj račun;0;0;0;0;0;0;0;0;0;0;0;0;0;129;12608;1916;1677;37;259;71;49;34
700204;Davek na dobiček zaradi spremembe namembnosti zemljišč;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199289;495598;174813;145148;201564;406223;354058;254291
700205;Zamudne obresti od davka na dobiček zaradi spremembe namembnosti zemljišč;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;908;3575;1098;-901;1314;1654;171
700299;Drugi davki na dohodek in dobiček;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
701;Prispevki za socialno varnost;22006893;24255787;27411500;30323418;33851181;36692823;39225660;41569977;44484605;48375493;53461485;55202000;54918326;54546199;53501109;51832385;56612868;58517705;61457372;65875105;71025734;56338909
;;;;;;;;;;;;;;;;;;;;;;;
7010;Prispevki zaposlenih;11862335;13271778;15661286;16432416;18663493;20315275;22179897;23516156;24918149;27079254;29980628;30273088;30469629;29709732;27170801;25610695;29895997;31030346;32366929;34759131;37499379;29765640
701000;Prispevek za zaposlovanje - od zaposlenih pri pravnih osebah;6926389;7658991;8535682;9462821;10450000;11376847;12216404;13033920;13858533;15084359;16706313;16854777;17011464;16618696;14482525;14609042;16808227;17402854;18167589;19521913;21061148;16710808
701001;Prispevek za zaposlovanje - od zaposlenih pri fizičnih osebah,ki opravljajo dejavnost;0;216387;637397;703640;780242;844296;722062;709860;765660;806860;895788;931177;866942;819306;878550;831194;800485;812982;817506;859460;917888;740390
701002;Prispevek za starševsko varstvo - od zaposlenih pri pravnih osebah;4935946;5396400;6488206;6265955;7433250;8094132;8599571;9176450;9749274;10602229;11746412;11864280;11970792;11684122;11175782;9569625;11709202;12223795;12795576;13763247;14849651;11785514
701003;Prispevek za starševsko varstvo - od zaposlenih pri fizičnih osebah, ki opravlja dejavnost;0;0;0;0;0;0;641861;595927;544683;585806;632116;622854;620430;587608;633944;600834;578083;590715;586258;614511;670692;528928
701004;Prispevek za pokojninsko in invalidsko zavarovanje - od zaposlenih pri pravnih osebah;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701005;Prispevek za pokojninsko in invalidsko zavarovanje - od zaposlenih pri fizičnih osebah, ki opravljajo dejavnost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701006;Prispevek za zdravstveno zavarovanje - od zaposlenih pri pravnih osebah;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701007;Prispevek za zdravstveno zavarovanje - od zaposlenih pri fizičnih osebah, ki opravljajo dejavnost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701008;Prispevek za zdravstveno zavarovanje - od zaposlenih pri tujem delodajalcu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701009;Prispevek za pokojninsko in invalidsko zavarovanje iz drugih pravnih razmerij;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701010;Prispevek za zdravstveno zavarovanje iz drugih pravnih razmerij;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701011;Prispevek za pokojninsko in invalidsko zavarovanje - od začasnih in občasnih del študentov in dijakov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
7011;Prispevki delodajalcev;8976974;10567239;10095617;11483012;12696731;13840846;14354697;15467236;16475685;17984467;19948219;20101986;20258005;20221972;21333094;21211858;22261505;22953670;24364811;26230910;28393280;22546002
701100;Prispevek za zaposlovanje - za zaposlene pri pravnih osebah;2945314;3725524;3596438;4023336;4487995;4880794;5229520;5589851;5932119;6475118;7140618;7228015;7283506;7295761;7706485;7947558;9039322;9555826;10374744;11259778;12260631;9706930
701101;Prispevek za zaposlovanje - za zaposlene pri fizičnih osebah, ki opravljajo dejavnost;552249;356768;0;0;0;0;209609;272588;301246;324424;410744;383207;367894;347518;374416;394310;492224;542895;571853;631544;669089;543333
701102;Prispevek za starševsko varstvo - za zaposlene pri pravnih osebah;4974020;5246484;5854833;6733616;7393206;8097675;8594929;9177304;9751098;10600291;11744621;11851282;11988790;12000536;12636493;12292681;12182692;12308376;12858687;13743867;14837927;11777505
701103;Prispevek za starševsko varstvo - za zaposlene pri fizičnih osebah, ki opravljajo dejavnost;505391;1238463;644346;726060;815529;862377;320639;427494;491222;584634;652236;639482;617815;578157;615700;577309;547268;546573;559528;595720;625633;518234
701104;Prispevek za pokojninsko in invalidsko zavarovanje - za zaposlene pri pravnih osebah;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701105;Prispevek za pokojninsko in invalidsko zavarovanje - za zaposlene pri fizičnih osebah, ki opravljajo dejavnost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701106;Prispevek za pokojninsko in invalidsko zavarovanje - za člane kmetije;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701107;Prispevek za pokojninsko in invalidsko zavarovanje - za učence, ki so v učnem razmerju;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701108;Prispevek za pokojninsko in invalidsko zavarovanje - za zavarovalno dobo s povečanjem za zaposlene pri pravnih osebah;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701109;Prispevek za zdravstveno zavarovanje - za zaposlene pri pravnih osebah;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701110;Prispevek za poškodbe pri delu in poklicne bolezni - za zavarovance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701111;Prispevek za pokojninsko in invalidsko zavarovanje za posebne primere zavarovanja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701112;Prispevek za pokojninsko in invalidsko zavarovanje iz drugih pravnih razmerij;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701113;Prispevek za zdravstveno zavarovanje za zaposlene pri fizičnih osebah, ki opravljajo dejavnost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701114;Prispevek za pokojninsko in invalidsko zavarovanje oseb zaposlenih pri tujem delodajalcu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701115;Prispevek za pokojninsko in invalidsko zavarovanje - za začasna in občasna dela študentov in dijakov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701116;Prispevek za zdravstveno zavarovanje - za začasna in občasna dela študentov in dijakov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
7012;Prispevki samozaposlenih;1038065;137666;1518227;1658794;1760517;1762339;1970052;1871938;2324793;2470447;2580761;4127988;2807151;2967347;3197078;3123609;3068507;3231496;3420598;3603640;3837050;2991625
701200;Prispevek za zaposlovanje - od fizičnih oseb, ki opravljajo dejavnost - od zavarovalne osnove;328084;42779;495530;573789;619061;605467;661109;642772;648209;777224;826355;1335386;741001;992986;1065312;1029342;1007902;1061859;1127793;1188255;1263521;986674
701201;Prispevek za zaposlovanje - od fizičnih oseb, ki opravljajo dejavnost - iz zavarovalne osnove;140936;16950;216954;225065;247550;256653;269318;275237;318150;311467;360309;582914;314547;427643;456414;441712;432690;456929;483482;509297;544138;425548
701202;Prispevek za starševsko varstvo - od fizičnih oseb, ki opravljajo dejavnost;569045;77937;805744;859940;893905;900219;1039625;953929;1358434;1381756;1394097;2209688;1751603;1546719;1675353;1652555;1627915;1712708;1809323;1906088;2029391;1579403
701203;Prispevek za pokojninsko in invalidsko zavarovanje - od fizičnih oseb, ki opravljajo dejavnost - od zavarovalne osnove;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701204;Prispevek za pokojninsko in invalidsko zavarovanje - od fizičnih oseb, ki opravljajo dejavnost - iz zavarovalne osnove;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701205;Prispevek za pokojninsko in invalidsko zavarovanje kmetov - lastnikov kmetijskih zemljišč;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701206;Posebni prispevek za pokojninsko in invalidsko zavarovanje - za zavarovalno dobo s povečanjem od oseb, ki opravljajo dejavnost in pri njih zaposlenih;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701207;Prispevek za zdravstveno zavarovanje - kmetov in članov njihovih gospodinjstev in drugih oseb, ki plačujejo prispevek od katastrskega dohodka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701208;Prispevek za zdravstveno zavarovanje - kmetov, ki plačujejo prispevek od osnove za pokojninsko in invalidsko zavarovanje;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701209;Prispevek za zdravstveno zavarovanje - oseb, ki plačujejo prispevek v pavšalu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701210;Prispevek za zdravstveno zavarovanje - oseb, ki niso zavarovane iz drugih naslovov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701211;Prispevek za poškodbe pri delu in poklicna obolenja kmetov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701212;Pavšal za poškodbe pri delu in poklicne bolezni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701213;Prispevek za zdravstveno zavarovanje oseb, ki samostojno opravljajo gospodarsko ali poklicno dejavnost od zavarovalne osnove;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701214;Prispevek za zdravstveno zavarovanje oseb, ki samostojno opravljajo gospodarsko ali poklicno dejavnost iz zavarovalne osnove;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
7013;Ostali prispevki za socialno varnost;129519;279105;136371;749196;730440;774363;721014;714646;765977;841326;951877;698939;1383541;1647147;1800135;1886223;1386859;1302192;1305034;1281425;1296025;1035642
701300;Zamudne obresti iz naslova prispevkov za zaposlovanje;67606;213444;68091;73805;71243;81763;13931;14029;-7313;14054;20701;20666;7061;37224;63346;48799;35580;29999;38537;33876;32541;23982
701301;Zamudne obresti iz naslova prispevkov za starševsko varstvo;61546;65661;68280;99684;79673;77341;71193;11697;18762;26644;25661;-519364;33147;39071;68924;46232;34462;29528;35062;34493;32685;22380
701302;Zamudne obresti iz naslova prispevkov za pokojninsko in invalidsko zavarovanje;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701303;Zamudne obresti iz naslova prispevkov za zdravstveno zavarovanje;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701304;Pozneje plačani odloženi prispevki za socialno varnost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701305;Pozneje vplačani ukinjeni prispevki za socialno varnost;367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701306;Pozneje vplačani prispevki za ZPIZ iz preteklih let;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701307;Prispevek delojemalca za zaposlovanje od starševskih nadomestil;0;0;0;182919;191961;207800;224384;256964;290202;331213;395114;451201;483260;522367;568701;590338;463889;457000;452033;453117;476093;392206
701308;Prispevek delojemalca za starševsko varstvo od starševskih nadomestil;0;0;0;131332;138282;151275;163244;186392;209403;239009;285108;325824;355147;372983;412101;423619;331123;327078;323639;323551;339901;279883
701309;Prispevek delojemalca za pokojninsko in invalidsko zavarovanje od starševskih nadomestil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701310;Prispevek delojemalca za zdravstveno zavarovanje od starševskih nadomestil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701311;Prispevek delojemalca za zaposlovanje od nadomestil zaradi bolezenske odsotnosti, ki jih Zavod za zdravstveno zavarovanje Slovenije neposredno izplačuje upravičencem;0;0;0;17317;20811;22350;23698;14199;11641;12691;13400;15331;17238;17916;21438;23234;24557;24816;26559;29873;30605;24671
701312;Prispevek delojemalca za starševsko varstvo od nadomestil zaradi bolezenske odsotnosti, ki jih Zavod za zdravstveno zavarovanje Slovenije neposredno izplačuje upravičencem;0;0;0;14032;16409;17682;18621;11338;9730;10485;11016;12410;13965;14492;17125;18593;19908;19994;21754;24717;25683;20583
701313;Prispevek delojemalca za pokojninsko in invalidsko zavarovanje od nadomestil zaradi bolezenske odsotnosti, ki jih Zavod za zdravstveno zavarovanje Slovenije neposredno izplačuje upravičencem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701314;Prispevek delojemalca za zdravstveno zavarovanje od nadomestil zaradi bolezenske odsotnosti, ki jih Zavod za zdravstveno zavarovanje Slovenije neposredno izplačuje upravičencem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701315;Prispevek delojemalca za zaposlovanje od nadomestil za čas brezposelnosti;0;0;0;128854;116005;118317;111177;119017;127533;118211;116828;229015;276297;375154;377315;429536;278051;241454;237781;222790;209202;158688
701316;Prispevek delojemalca za starševsko varstvo od nadomestil za čas brezposelnosti;0;0;0;101253;95084;98807;94765;101010;106020;89018;84049;163857;197427;267938;271185;305873;199289;172323;169670;159007;149315;113248
701317;Prispevek delojemalca za pokojninsko in invalidsko zavarovanje od nadomestil za čas brezposelnosti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
701318;Prispevek delojemalca za zdravstveno zavarovanje od nadomestil za čas brezposelnosti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
